Account,Date,Transaction type,Num,Name,Description,Full name,Account,Amount,Balance
PayPal Bank 3,12/6/23,Deposit,57B50672WC7477227,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 57B50672WC7477227https://www.paypal.com/activity/payment/57B50672WC7477227,PayPal Bank 3,--,$49.23 ,"$7,060.63 "
Donations directed by individuals,12/6/23,Deposit,57B50672WC7477227,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.52 ,"$7,112.15 "
PayPal Fees,12/6/23,Deposit,57B50672WC7477227,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.29 ,"$7,114.44 "
PayPal Bank 3,12/6/23,Deposit,80P112087R235541B,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 80P112087R235541Bhttps://www.paypal.com/activity/payment/80P112087R235541B,PayPal Bank 3,--,$18.81 ,"$7,133.25 "
Donations directed by individuals,12/6/23,Deposit,80P112087R235541B,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00 ,"$7,153.25 "
PayPal Fees,12/6/23,Deposit,80P112087R235541B,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.19 ,"$7,154.44 "
PayPal Bank 3,12/6/23,Deposit,82231026U3776434M,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 82231026U3776434Mhttps://www.paypal.com/activity/payment/82231026U3776434M,PayPal Bank 3,--,$196.93 ,"$7,351.37 "
Donations directed by individuals,12/6/23,Deposit,82231026U3776434M,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$204.56 ,"$7,555.93 "
PayPal Fees,12/6/23,Deposit,82231026U3776434M,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.63 ,"$7,563.56 "
PayPal Bank 3,12/5/23,Deposit,4ET309440E809614N,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 4ET309440E809614Nhttps://www.paypal.com/activity/payment/4ET309440E809614N,PayPal Bank 3,--,$19.11 ,"$7,582.67 "
Donations directed by individuals,12/5/23,Deposit,4ET309440E809614N,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00 ,"$7,602.67 "
PayPal Fees,12/5/23,Deposit,4ET309440E809614N,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.89 ,"$7,603.56 "
PayPal Bank 3,12/5/23,Deposit,395525075J380770A,09 MSU RESTR,Subject: New 10 UnitsTransaction ID: 395525075J380770Ahttps://www.paypal.com/activity/payment/395525075J380770A,PayPal Bank 3,--,$97.52 ,"$7,701.08 "
Donations directed by individuals,12/5/23,Deposit,395525075J380770A,09 MSU RESTR,donation-form,Contributed income:Donations directed by individuals,PayPal Bank 3,$100.00 ,"$7,801.08 "
PayPal Fees,12/5/23,Deposit,395525075J380770A,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.48 ,"$7,803.56 "
PayPal Bank 3,12/5/23,Deposit,63U11072J2277854W,09 MSU RESTR,Subject: MobileShowersTransaction ID: 63U11072J2277854Whttps://www.paypal.com/activity/payment/63U11072J2277854W,PayPal Bank 3,--,$20.09 ,"$7,823.65 "
Donations directed by individuals,12/5/23,Deposit,63U11072J2277854W,09 MSU RESTR,Mobile Shower/Laundry Units - Mobile Shower/Laundry Units,Contributed income:Donations directed by individuals,PayPal Bank 3,$21.00 ,"$7,844.65 "
PayPal Fees,12/5/23,Deposit,63U11072J2277854W,09 MSU RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.91 ,"$7,845.56 "
PayPal Bank 3,12/5/23,Deposit,6M451930WK7810409,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 6M451930WK7810409https://www.paypal.com/activity/payment/6M451930WK7810409,PayPal Bank 3,--,$19.11 ,"$7,864.67 "
Donations directed by individuals,12/5/23,Deposit,6M451930WK7810409,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.00 ,"$7,884.67 "
PayPal Fees,12/5/23,Deposit,6M451930WK7810409,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$0.89 ,"$7,885.56 "
PayPal Bank 3,12/5/23,Deposit,0PC52598C03226436,04 PAYPAL GENERAL UNRESTR,Subject: GeneralPageTransaction ID: 0PC52598C03226436https://www.paypal.com/activity/payment/0PC52598C03226436,PayPal Bank 3,--,$100.00 ,"$7,985.56 "
Donations directed by individuals,12/5/23,Deposit,0PC52598C03226436,04 PAYPAL GENERAL UNRESTR,Support Ukraine - Support Ukraine,Contributed income:Donations directed by individuals,PayPal Bank 3,$102.53 ,"$8,088.09 "
PayPal Fees,12/5/23,Deposit,0PC52598C03226436,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$2.53 ,"$8,090.62 "
PayPal Bank 3,12/5/23,Deposit,81W79463SA578253D,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 81W79463SA578253Dhttps://www.paypal.com/activity/payment/81W79463SA578253D,PayPal Bank 3,--,$48.51 ,"$8,139.13 "
Donations directed by individuals,12/5/23,Deposit,81W79463SA578253D,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$50.00 ,"$8,189.13 "
PayPal Fees,12/5/23,Deposit,81W79463SA578253D,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.49 ,"$8,190.62 "
PayPal Bank 3,12/4/23,Deposit,6J9276499Y7210818,04 PAYPAL GENERAL UNRESTR,Subject: Dignitas Ukraine Flight to RecoveryTransaction ID: 6J9276499Y7210818https://www.paypal.com/activity/payment/6J9276499Y7210818,PayPal Bank 3,--,$50.47 ,"$8,241.09 "
Donations directed by individuals,12/4/23,Deposit,6J9276499Y7210818,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$51.99 ,"$8,293.08 "
PayPal Fees,12/4/23,Deposit,6J9276499Y7210818,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.52 ,"$8,294.60 "
PayPal Bank 3,12/4/23,Deposit,1RY70948J9941484V,04 PAYPAL GENERAL UNRESTR,Subject: Support UkraineTransaction ID: 1RY70948J9941484Vhttps://www.paypal.com/activity/payment/1RY70948J9941484V,PayPal Bank 3,--,$19.69 ,"$8,314.29 "
Donations directed by individuals,12/4/23,Deposit,1RY70948J9941484V,04 PAYPAL GENERAL UNRESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$20.91 ,"$8,335.20 "
PayPal Fees,12/4/23,Deposit,1RY70948J9941484V,04 PAYPAL GENERAL UNRESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$1.22 ,"$8,336.42 "
PayPal Bank 3,12/4/23,Deposit,3DW81397XU731551K,08 VICTORY DRONES RESTR,Subject: VICTORY DRONESTransaction ID: 3DW81397XU731551Khttps://www.paypal.com/activity/payment/3DW81397XU731551K,PayPal Bank 3,--,$99.38 ,"$8,435.80 "
Donations directed by individuals,12/4/23,Deposit,3DW81397XU731551K,08 VICTORY DRONES RESTR,Money in to PayPal,Contributed income:Donations directed by individuals,PayPal Bank 3,$103.48 ,"$8,539.28 "
PayPal Fees,12/4/23,Deposit,3DW81397XU731551K,08 VICTORY DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$4.10 ,"$8,543.38 "
PayPal Bank 3,12/4/23,Deposit,94F331271T258332B,07 1000 DRONES RESTR,Subject: 1000DRONESTransaction ID: 94F331271T258332Bhttps://www.paypal.com/activity/payment/94F331271T258332B,PayPal Bank 3,--,$192.53 ,"$8,735.91 "
Donations directed by individuals,12/4/23,Deposit,94F331271T258332B,07 1000 DRONES RESTR,1000 DRONES FOR UKRAINE - 1000 DRONES FOR UKRAINE,Contributed income:Donations directed by individuals,PayPal Bank 3,$200.00 ,"$8,935.91 "
PayPal Fees,12/4/23,Deposit,94F331271T258332B,07 1000 DRONES RESTR,PayPal fees,OFFICE/GENERAL ADMINISTRATIVE EXPENSES:PayPal Fees,PayPal Bank 3,$7.47 ,"$8,943.38 "
