Date,Category,UAH,Payment method
2023-11-05,General Donations,10.7,PayPal
2023-11-05,General Donations,102.53,PayPal
2023-11-05,Mobile Shower Units,10.0,PayPal
2023-11-05,General Donations,102.53,PayPal
2023-11-05,1000 Drones For Ukraine,100.0,PayPal
2023-11-05,General Donations,31.4,PayPal
2023-11-05,1000 Drones For Ukraine,35.0,PayPal
2023-11-05,Victory Drones,103.48,PayPal
2023-11-05,Flight To Recovery,103.48,PayPal
2023-11-05,Flight To Recovery,51.99,PayPal
2023-11-05,1000 Drones For Ukraine,51.52,PayPal
2023-11-05,1000 Drones For Ukraine,122.94,PayPal
2023-11-05,Mobile Shower Units,50.0,PayPal
2023-11-05,General Donations,50.0,PayPal
2023-11-05,Mobile Shower Units,100.49,PayPal
2023-11-05,1000 Drones For Ukraine,150.0,PayPal
2023-11-05,1000 Drones For Ukraine,408.62,PayPal
2023-11-05,Mobile Shower Units,204.56,PayPal
2023-11-05,1000 Drones For Ukraine,100.0,PayPal
2023-11-05,1000 Drones For Ukraine,15.8,PayPal
2023-11-05,Mobile Shower Units,15.0,PayPal
2023-11-05,General Donations,10.7,PayPal
2023-11-05,Mobile Shower Units,500.0,PayPal
2023-11-05,1000 Drones For Ukraine,15.8,PayPal
2023-11-05,1000 Drones For Ukraine,100.0,PayPal
2023-11-03,General Donations,20.0,PayPal
2023-11-03,General Donations,51.52,PayPal
2023-11-03,Victory Drones,102.53,PayPal
2023-11-03,General Donations,1020.8,PayPal
2023-11-03,General Donations,200.0,PayPal
2023-11-02,General Donations,1000.0,PayPal
2023-11-02,General Donations,26.25,PayPal
2023-11-02,General Donations,102.53,PayPal
2023-11-02,General Donations,50.0,PayPal
2023-11-02,General Donations,72.0,PayPal
2023-11-02,General Donations,102.53,PayPal
2023-11-02,General Donations,51.52,PayPal
2023-11-02,General Donations,30.0,PayPal
2023-11-02,1000 Drones For Ukraine,33.0,PayPal
2023-11-02,1000 Drones For Ukraine,204.56,PayPal
2023-11-02,1000 Drones For Ukraine,204.56,PayPal
2023-11-02,1000 Drones For Ukraine,51.52,PayPal
2023-11-02,General Donations,30.0,PayPal
2023-11-02,General Donations,100.19,PayPal
2023-11-02,General Donations,31.4,PayPal
2023-11-02,General Donations,25.0,PayPal
2023-11-02,General Donations,103.48,PayPal
